French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
laisser,let
car,because
mettre,to put
laisse,leash
ville,city
parlé,speak
devrait,should
longtemps,long time
vont,will
revoir,meet again
étaient,were
type,type
leurs,their
donné,given
endroit,place
façon,way
dont,whose
premier,first
première,first
côté,side
vieux,old
tiens,here
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
droit,law
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
